     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       100,         1,        20,   0.353,pymatching,95ad548952baee0ba51bf73218875706d839bc20baf3d7e1495e8dd1520e54c4,"{""d_final"":3,""d_init"":3,""encoder"":""mine"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
       100,         0,        22,   0.350,pymatching,188a7a1f5145ad93cd95ce69a807c32213bf82f228b6710aa558e7755cd61df2,"{""d_final"":9,""d_init"":3,""encoder"":""mine"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
       100,         1,        23,   0.352,pymatching,6b98c0cf09d8a05c24765f9b61a5d834c6aff08c1fdeec306f9deee8ad9ef301,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
       200,         1,        57,   0.001,pymatching,95ad548952baee0ba51bf73218875706d839bc20baf3d7e1495e8dd1520e54c4,"{""d_final"":3,""d_init"":3,""encoder"":""mine"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
       200,         1,        46,   0.001,pymatching,95ad548952baee0ba51bf73218875706d839bc20baf3d7e1495e8dd1520e54c4,"{""d_final"":3,""d_init"":3,""encoder"":""mine"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
       100,         1,        23,   0.000,pymatching,95ad548952baee0ba51bf73218875706d839bc20baf3d7e1495e8dd1520e54c4,"{""d_final"":3,""d_init"":3,""encoder"":""mine"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
       600,         2,       130,   0.001,pymatching,95ad548952baee0ba51bf73218875706d839bc20baf3d7e1495e8dd1520e54c4,"{""d_final"":3,""d_init"":3,""encoder"":""mine"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
      1000,         4,       232,   0.001,pymatching,95ad548952baee0ba51bf73218875706d839bc20baf3d7e1495e8dd1520e54c4,"{""d_final"":3,""d_init"":3,""encoder"":""mine"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
       100,         4,        36,   0.332,pymatching,5356855554ec70a8c465ea0c429ff195bbb9bdb1678d3a3711a34f46d2a8ad29,"{""d_final"":17,""d_init"":3,""encoder"":""mine"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
      1200,         7,       310,   0.001,pymatching,95ad548952baee0ba51bf73218875706d839bc20baf3d7e1495e8dd1520e54c4,"{""d_final"":3,""d_init"":3,""encoder"":""mine"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
      2400,        10,       585,   0.001,pymatching,95ad548952baee0ba51bf73218875706d839bc20baf3d7e1495e8dd1520e54c4,"{""d_final"":3,""d_init"":3,""encoder"":""mine"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
      4400,        27,      1037,   0.002,pymatching,95ad548952baee0ba51bf73218875706d839bc20baf3d7e1495e8dd1520e54c4,"{""d_final"":3,""d_init"":3,""encoder"":""mine"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
      6800,        33,      1591,   0.002,pymatching,95ad548952baee0ba51bf73218875706d839bc20baf3d7e1495e8dd1520e54c4,"{""d_final"":3,""d_init"":3,""encoder"":""mine"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
      3000,        15,       691,   0.002,pymatching,95ad548952baee0ba51bf73218875706d839bc20baf3d7e1495e8dd1520e54c4,"{""d_final"":3,""d_init"":3,""encoder"":""mine"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     11600,        62,      2742,   0.005,pymatching,95ad548952baee0ba51bf73218875706d839bc20baf3d7e1495e8dd1520e54c4,"{""d_final"":3,""d_init"":3,""encoder"":""mine"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     20400,        94,      4784,   0.006,pymatching,95ad548952baee0ba51bf73218875706d839bc20baf3d7e1495e8dd1520e54c4,"{""d_final"":3,""d_init"":3,""encoder"":""mine"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     34000,       183,      8144,   0.008,pymatching,95ad548952baee0ba51bf73218875706d839bc20baf3d7e1495e8dd1520e54c4,"{""d_final"":3,""d_init"":3,""encoder"":""mine"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     34000,       184,      8366,   0.009,pymatching,95ad548952baee0ba51bf73218875706d839bc20baf3d7e1495e8dd1520e54c4,"{""d_final"":3,""d_init"":3,""encoder"":""mine"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     63200,       303,     15092,   0.019,pymatching,95ad548952baee0ba51bf73218875706d839bc20baf3d7e1495e8dd1520e54c4,"{""d_final"":3,""d_init"":3,""encoder"":""mine"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
    104000,       539,     24949,   0.025,pymatching,95ad548952baee0ba51bf73218875706d839bc20baf3d7e1495e8dd1520e54c4,"{""d_final"":3,""d_init"":3,""encoder"":""mine"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
    172000,       913,     41456,   0.042,pymatching,95ad548952baee0ba51bf73218875706d839bc20baf3d7e1495e8dd1520e54c4,"{""d_final"":3,""d_init"":3,""encoder"":""mine"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
