     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       100,         0,         0,   0.609,pymatching,ea3634df2a57e9fb239162f8ca91e7f94dd4e8882597a682f3d251e4dc5d2ffd,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0007500000000000001,""p2"":0.005,""pm"":0,""psr"":null}",
       100,         1,         0,   0.608,pymatching,bfecf557c5960fa10f2642c45dad15386d0b9e4bc83356d1b59849d50987afff,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.00025,""p2"":0.005,""pm"":0,""psr"":null}",
       100,         0,         0,   0.609,pymatching,e4df9e67278c6216edab1b329e8f480441abf627f095ab3017d24ba76b9e9095,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0005,""p2"":0.005,""pm"":0,""psr"":null}",
       100,         0,         0,   0.609,pymatching,cd0caecb5a6edf6d9c771867e77849c840e1e24c1ea2068482a7d9429feb5a98,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0,""p2"":0.005,""pm"":0,""psr"":null}",
       200,         0,         0,   0.001,pymatching,ea3634df2a57e9fb239162f8ca91e7f94dd4e8882597a682f3d251e4dc5d2ffd,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0007500000000000001,""p2"":0.005,""pm"":0,""psr"":null}",
       200,         0,         0,   0.001,pymatching,bfecf557c5960fa10f2642c45dad15386d0b9e4bc83356d1b59849d50987afff,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.00025,""p2"":0.005,""pm"":0,""psr"":null}",
       200,         0,         0,   0.001,pymatching,bfecf557c5960fa10f2642c45dad15386d0b9e4bc83356d1b59849d50987afff,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.00025,""p2"":0.005,""pm"":0,""psr"":null}",
       200,         0,         0,   0.001,pymatching,cd0caecb5a6edf6d9c771867e77849c840e1e24c1ea2068482a7d9429feb5a98,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0,""p2"":0.005,""pm"":0,""psr"":null}",
       200,         0,         0,   0.001,pymatching,cd0caecb5a6edf6d9c771867e77849c840e1e24c1ea2068482a7d9429feb5a98,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0,""p2"":0.005,""pm"":0,""psr"":null}",
       100,         0,         0,   0.001,pymatching,cd0caecb5a6edf6d9c771867e77849c840e1e24c1ea2068482a7d9429feb5a98,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0,""p2"":0.005,""pm"":0,""psr"":null}",
      1000,         2,         0,   0.001,pymatching,bfecf557c5960fa10f2642c45dad15386d0b9e4bc83356d1b59849d50987afff,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.00025,""p2"":0.005,""pm"":0,""psr"":null}",
       600,         0,         0,   0.001,pymatching,cd0caecb5a6edf6d9c771867e77849c840e1e24c1ea2068482a7d9429feb5a98,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0,""p2"":0.005,""pm"":0,""psr"":null}",
      1000,         1,         0,   0.001,pymatching,cd0caecb5a6edf6d9c771867e77849c840e1e24c1ea2068482a7d9429feb5a98,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0,""p2"":0.005,""pm"":0,""psr"":null}",
       200,         0,         0,   0.001,pymatching,cd0caecb5a6edf6d9c771867e77849c840e1e24c1ea2068482a7d9429feb5a98,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0,""p2"":0.005,""pm"":0,""psr"":null}",
      1200,         2,         0,   0.002,pymatching,cd0caecb5a6edf6d9c771867e77849c840e1e24c1ea2068482a7d9429feb5a98,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0,""p2"":0.005,""pm"":0,""psr"":null}",
      2400,         3,         0,   0.002,pymatching,cd0caecb5a6edf6d9c771867e77849c840e1e24c1ea2068482a7d9429feb5a98,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0,""p2"":0.005,""pm"":0,""psr"":null}",
      4400,         7,         0,   0.002,pymatching,cd0caecb5a6edf6d9c771867e77849c840e1e24c1ea2068482a7d9429feb5a98,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0,""p2"":0.005,""pm"":0,""psr"":null}",
      4000,         9,         0,   0.002,pymatching,cd0caecb5a6edf6d9c771867e77849c840e1e24c1ea2068482a7d9429feb5a98,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0,""p2"":0.005,""pm"":0,""psr"":null}",
      7200,        11,         0,   0.004,pymatching,cd0caecb5a6edf6d9c771867e77849c840e1e24c1ea2068482a7d9429feb5a98,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0,""p2"":0.005,""pm"":0,""psr"":null}",
     12000,        10,         0,   0.006,pymatching,cd0caecb5a6edf6d9c771867e77849c840e1e24c1ea2068482a7d9429feb5a98,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0,""p2"":0.005,""pm"":0,""psr"":null}",
     20800,        37,         0,   0.009,pymatching,cd0caecb5a6edf6d9c771867e77849c840e1e24c1ea2068482a7d9429feb5a98,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0,""p2"":0.005,""pm"":0,""psr"":null}",
     28800,        50,         0,   0.013,pymatching,cd0caecb5a6edf6d9c771867e77849c840e1e24c1ea2068482a7d9429feb5a98,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0,""p2"":0.005,""pm"":0,""psr"":null}",
     43200,        66,         0,   0.017,pymatching,cd0caecb5a6edf6d9c771867e77849c840e1e24c1ea2068482a7d9429feb5a98,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0,""p2"":0.005,""pm"":0,""psr"":null}",
     67200,        91,         0,   0.026,pymatching,cd0caecb5a6edf6d9c771867e77849c840e1e24c1ea2068482a7d9429feb5a98,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0,""p2"":0.005,""pm"":0,""psr"":null}",
    108800,       149,         0,   0.040,pymatching,cd0caecb5a6edf6d9c771867e77849c840e1e24c1ea2068482a7d9429feb5a98,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0,""p2"":0.005,""pm"":0,""psr"":null}",
    166400,       219,         0,   0.059,pymatching,cd0caecb5a6edf6d9c771867e77849c840e1e24c1ea2068482a7d9429feb5a98,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0,""p2"":0.005,""pm"":0,""psr"":null}",
    252800,       360,         0,   0.092,pymatching,cd0caecb5a6edf6d9c771867e77849c840e1e24c1ea2068482a7d9429feb5a98,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0,""p2"":0.005,""pm"":0,""psr"":null}",
      3000,         5,         0,   0.002,pymatching,bfecf557c5960fa10f2642c45dad15386d0b9e4bc83356d1b59849d50987afff,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.00025,""p2"":0.005,""pm"":0,""psr"":null}",
      9000,        16,         0,   0.004,pymatching,bfecf557c5960fa10f2642c45dad15386d0b9e4bc83356d1b59849d50987afff,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.00025,""p2"":0.005,""pm"":0,""psr"":null}",
     27000,        44,         0,   0.013,pymatching,bfecf557c5960fa10f2642c45dad15386d0b9e4bc83356d1b59849d50987afff,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.00025,""p2"":0.005,""pm"":0,""psr"":null}",
     81000,       131,         0,   0.033,pymatching,bfecf557c5960fa10f2642c45dad15386d0b9e4bc83356d1b59849d50987afff,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.00025,""p2"":0.005,""pm"":0,""psr"":null}",
    387200,       559,         0,   0.146,pymatching,cd0caecb5a6edf6d9c771867e77849c840e1e24c1ea2068482a7d9429feb5a98,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0,""p2"":0.005,""pm"":0,""psr"":null}",
